"Main","Average_Volume"
" WILLIAM R ALLEN RD ",29797
" STEELES AVE E ",25454
" BLACK CREEK DR ",25389
" STEELES AVE W ",24592
" HIGHWAY 27 ",24059
" EGLINTON AVE E ",23817
" DON MILLS RD ",23735
" BAYVIEW AVE ",22914
" KENNEDY RD ",22571
" MARKHAM RD ",22277
" UNIVERSITY AVE ",22119
" BURNHAMTHORPE RD ",21686
" THE QUEENSWAY ",21312
" MCCOWAN RD ",20856
" AVENUE RD ",20682
" REXDALE BLVD ",20582
" LAWRENCE AVE E ",20563
" LESLIE ST ",20459
" YORK BLVD ",20431
" SHEPPARD AVE E ",20153
" WARDEN AVE ",19638
" FINCH AVE W ",19318
" FINCH AVE E ",19058
" DIXON RD ",18992
" EGLINTON AVE W ",18872
" QUEENS PARK ",18591
" O CONNOR DR ",18556
" YONGE ST ",18453
" KINGSTON RD ",18311
" DUFFERIN ST ",18241
" KEELE ST ",18116
" VICTORIA PARK AVE ",18074
" RENFORTH DR ",17537
" BATHURST ST ",17493
" ORIOLE PKWY ",17487
" BROWNS LINE ",17311
" WILSON AVE ",17051
" LAKE SHORE BLVD E ",16852
" JANE ST ",16764
" ISLINGTON AVE ",16677
" SHEPPARD AVE W ",16669
" ELLESMERE RD ",16659
" LAKE SHORE BLVD W ",16425
" ALBION RD ",16394
" LAWRENCE AVE W ",16314
" BLOOR ST E ",16136
" LAIRD DR ",16099
" YORK MILLS RD ",16049
" JARVIS ST ",16014
" MOUNT PLEASANT RD ",15974
" CHERRY ST ",15814
" ST CLAIR AVE E ",15794
" MAIN ST ",15646
" DUNDAS ST W ",15537
" WESTON RD ",14850
" BRIMLEY RD ",14664
" BAY ST ",14524
" BLOOR ST ",14398
" OVERLEA BLVD ",14266
" YORKDALE RD ",14193
" BLOOR ST W ",14123
" PARKSIDE DR ",13987
" DUPONT ST ",13921
" SPADINA CRES ",13806
" KIPLING AVE ",13774
" SPADINA AVE ",13748
" HARBOUR ST ",13737
" PARK LAWN RD ",13514
" DANFORTH AVE ",13453
" NEILSON RD ",13399
" MILLWOOD RD ",13096
" DAVENPORT RD ",13089
" DONLANDS AVE ",13063
" PROGRESS AVE ",13047
" KING ST ",12960
" BIRCHMOUNT RD ",12956
" WOODBINE AVE ",12943
" ST CLAIR AVE W ",12885
" QUEENS PARK CRES W ",12836
" RATHBURN RD ",12834
" EVANS AVE ",12781
" MORNINGSIDE AVE ",12672
" MIDLAND AVE ",12607
" CALEDONIA RD ",12589
" MIDDLEFIELD RD ",12415
" MARLEE AVE ",12349
" RICHMOND ST E ",12326
" WILSON HEIGHTS BLVD ",12285
" LOWER JARVIS ST ",12239
" QUEENS PARK CRES E ",12158
" CLONMORE DR ",11986
" PHARMACY AVE ",11837
" LANSDOWNE AVE ",11768
" VICTORIA ST ",11767
" STRACHAN AVE ",11723
" ROGERS RD ",11691
" ROYAL YORK RD ",11680
" SHERBOURNE ST ",11581
" DANFORTH RD ",11564
" THE EAST MALL ",11497
" IAN MACDONALD BLVD ",11406
" OAKWOOD AVE ",11305
" GERRARD ST E ",11197
" EASTERN AVE ",11148
" YORK ST ",11101
" PARK HOME AVE ",10987
" COLLEGE ST ",10972
" PARKWOODS VILLAGE DR ",10959
" CUMMER AVE ",10939
" THE WEST MALL ",10938
" BROADVIEW AVE ",10915
" PAPE AVE ",10876
" BRENTCLIFFE RD ",10837
" PARLIAMENT ST ",10825
" NORTH QUEEN ST ",10787
" OAK ST ",10787
" QUEEN ST E ",10741
" WYNFORD DR ",10704
" KING ST W ",10684
" SCARLETT RD ",10683
" CHESSWOOD DR ",10601
" FRONT ST W ",10568
" FAIRVIEW MALL DR ",10533
" MARTIN GROVE RD ",10505
" PORT UNION RD ",10477
" DUNDAS ST E ",10455
" SHOREHAM DR ",10330
" MCNICOLL AVE ",10279
" SOUTH KINGSWAY ",10267
" CHURCH ST ",10150
" CASTLEFIELD AVE ",10037
" COXWELL AVE ",10017
" MORTIMER AVE ",9913
" YORKLAND RD ",9900
" BERMONDSEY RD ",9826
" TRETHEWEY DR ",9739
" CONSUMERS RD ",9725
" SHERWAY GARDENS RD ",9713
" DREWRY AVE ",9696
" WILLOWDALE AVE ",9676
" YORKDALE 401 ALLEN N RAMP ",9517
" FRONT ST E ",9482
" QUEEN ST W ",9466
" MILNER AVE ",9453
" GERRARD ST W ",9443
" DORIS AVE ",9416
" ANNETTE ST ",9363
" DON MILLS RD W ",9311
" DOVERCOURT RD ",9251
" GREENWOOD AVE ",9180
" ADELAIDE ST E ",9163
" CONSILIUM PL ",9144
" SPADINA RD ",9099
" WICKSTEED AVE ",8998
" FENMAR DR ",8958
" SOUTHVALE DR ",8873
" SHUTER ST ",8842
" BELLAMY RD N ",8821
" ADELAIDE ST W ",8818
" ALLIANCE AVE ",8780
" WILMINGTON AVE ",8680
" HUMBER COLLEGE BLVD ",8586
" HARBORD ST ",8546
" OLD WESTON RD ",8478
" SCARLET RD ",8437
" WELLINGTON ST W ",8401
" HUNTINGWOOD DR ",8310
" SIMCOE ST ",8156
" CHAPLIN CRES ",8121
" PASSMORE AVE ",8111
" BEECROFT RD ",8072
" COSBURN AVE ",8030
" KING ST E ",7978
" GARDINER E PARK LAWN RD RAMP ",7957
" DON MILLS RD E ",7937
" ASHTONBEE RD ",7898
" QUEENS QUAY W ",7896
" HUMBERWOOD BLVD ",7890
" ALNESS ST ",7876
" DAWES RD ",7738
" MILITARY TRL ",7669
" BELFIELD RD ",7643
" RICHMOND ST W ",7622
" HORNER AVE ",7550
" SIGNET DR ",7509
" RONCESVALLES AVE ",7487
" FORT YORK BLVD ",7407
" OAKDALE RD ",7394
" OSSINGTON AVE ",7367
" MEADOWVALE RD ",7323
" TAPSCOTT RD ",7209
" WILLIAM KITCHEN RD ",7184
" THE WESTWAY ",7159
" RUNNYMEDE RD ",7148
" INGRAM DR ",7108
" CARLINGVIEW DR ",7070
" HALLAM ST ",7058
" ATTWELL DR ",6967
" COMSTOCK RD ",6961
" MCLEVIN AVE ",6932
" ST GEORGE ST ",6902
" GUILDWOOD PKWY ",6900
" BREMNER BLVD ",6892
" SCARBOROUGH GOLF CLUB RD ",6879
" QUEENS QUAY E ",6842
" LOWER SHERBOURNE ST ",6830
" SENTINEL RD ",6826
" DUPLEX AVE ",6813
" THE POND RD ",6795
" CARLTON ST ",6787
" RIVER ST ",6776
" WELLESLEY ST E ",6716
" CHRISTIE ST ",6708
" HOSKIN AVE ",6686
" CORPORATE DR ",6631
" MILLWICK DR ",6626
" LUMSDEN AVE ",6519
" WINDERMERE AVE ",6488
" POYNTZ AVE ",6440
" THE DONWAY W ",6333
" GATEWAY BLVD ",6229
" LOWER SIMCOE ST ",6151
" VAUGHAN RD ",5928
" ST DENNIS DR ",5921
" QUEENS PLATE DR ",5874
" BRITISH COLUMBIA RD ",5836
" OLD KINGSTON RD ",5502
" SEWELLS RD ",5498
" BRIDLETOWNE CRCL ",5174
" LEBOVIC AVE ",5127
" RANEE AVE ",5116
" COMMISSIONERS ST ",5029
" TALBOT RD ",4909
" BONIS AVE ",4677
" TORO RD ",4630
" GRANTBROOK ST ",4454
" GUNNS RD ",4240
" ESTHER SHINER BLVD ",3914
" BAMBURGH CRCL ",3793
" MURRAY ROSS PKWY ",3756
" DWIGHT AVE ",3580
" ORTON PARK RD ",3300
" SHAW ST ",3069
" TANGIERS RD ",3016
" BRENYON WAY ",2748
" SANDHURST CRCL ",2481
" ZOO RD ",1982
" PRINCES BLVD ",1485
" OLD FINCH AVE ",1081
