"Main","Day","TotalVol"
" YONGE ST ","Wednesday",648746
" YONGE ST ","Saturday",516516
" EGLINTON AVE W ","Monday",423675
" STEELES AVE W ","Wednesday",405897
" BAY ST ","Thursday",372938
" KEELE ST ","Tuesday",338712
" EGLINTON AVE E ","Monday",336277
" YONGE ST ","Tuesday",324322
" SHEPPARD AVE E ","Wednesday",314764
" KINGSTON RD ","Wednesday",306879
" BLOOR ST W ","Thursday",305660
" FINCH AVE E ","Tuesday",298896
" DUFFERIN ST ","Monday",283527
" LAWRENCE AVE E ","Tuesday",276350
" BLOOR ST W ","Wednesday",270943
" LAWRENCE AVE E ","Monday",264086
" SHEPPARD AVE E ","Saturday",262818
" WARDEN AVE ","Tuesday",259577
" BATHURST ST ","Wednesday",259156
" FINCH AVE W ","Tuesday",255587
" BATHURST ST ","Tuesday",244414
" LAKE SHORE BLVD W ","Wednesday",243879
" KIPLING AVE ","Tuesday",242536
" YONGE ST ","Monday",240483
" EGLINTON AVE E ","Thursday",236118
" EGLINTON AVE E ","Wednesday",235490
" KENNEDY RD ","Thursday",229748
" STEELES AVE E ","Wednesday",228166
" AVENUE RD ","Thursday",226410
" WESTON RD ","Thursday",226336
" BATHURST ST ","Saturday",225735
" JANE ST ","Thursday",225707
" JANE ST ","Tuesday",225225
" STEELES AVE E ","Monday",223904
" MARKHAM RD ","Saturday",220204
" ST CLAIR AVE W ","Thursday",219502
" KINGSTON RD ","Thursday",219323
" BATHURST ST ","Monday",217823
" BIRCHMOUNT RD ","Wednesday",216869
" FINCH AVE W ","Wednesday",214554
" KING ST W ","Wednesday",213932
" DUNDAS ST W ","Wednesday",210089
" VICTORIA PARK AVE ","Wednesday",203861
" SPADINA AVE ","Saturday",202406
" LAKE SHORE BLVD W ","Tuesday",201348
" YORK MILLS RD ","Wednesday",201249
" LAKE SHORE BLVD W ","Thursday",197546
" SHEPPARD AVE E ","Tuesday",197253
" THE QUEENSWAY ","Wednesday",197141
" DUFFERIN ST ","Tuesday",197071
" DUNDAS ST W ","Saturday",195138
" DUFFERIN ST ","Saturday",194674
" DANFORTH AVE ","Thursday",191884
" JARVIS ST ","Tuesday",190108
" BAYVIEW AVE ","Monday",190108
" STEELES AVE E ","Thursday",188035
" BRIMLEY RD ","Thursday",185284
" DUNDAS ST W ","Tuesday",181963
" SHEPPARD AVE E ","Thursday",180939
" UNIVERSITY AVE ","Saturday",179039
" BLOOR ST W ","Tuesday",178145
" THE QUEENSWAY ","Tuesday",178004
" DUNDAS ST W ","Thursday",177169
" DON MILLS RD ","Wednesday",174493
" LAWRENCE AVE E ","Wednesday",172831
" EGLINTON AVE W ","Thursday",167705
" DUNDAS ST W ","Monday",164606
" BAYVIEW AVE ","Tuesday",162162
" STEELES AVE E ","Saturday",161389
" DIXON RD ","Tuesday",161197
" AVENUE RD ","Tuesday",161163
" DUFFERIN ST ","Wednesday",160259
" KINGSTON RD ","Saturday",158768
" STEELES AVE W ","Monday",156550
" MARTIN GROVE RD ","Tuesday",156373
" STEELES AVE W ","Saturday",155786
" LAWRENCE AVE E ","Thursday",153911
" MIDLAND AVE ","Wednesday",152953
" WILSON AVE ","Thursday",151715
" WILLIAM R ALLEN RD ","Wednesday",150737
" MCCOWAN RD ","Saturday",150300
" QUEEN ST W ","Wednesday",149580
" BAYVIEW AVE ","Thursday",149579
" FINCH AVE E ","Wednesday",148920
" EGLINTON AVE W ","Tuesday",148309
" ISLINGTON AVE ","Tuesday",148225
" AVENUE RD ","Wednesday",147424
